feature_set,model,fold,train_start,train_end,test_start,test_end,n_train,n_test,accuracy,precision,recall,f1,auc,mcc
technical_plus_finbert,naive_most_frequent,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.504950495049505,0.0,0.0,0.0,0.5,0.0
technical_plus_finbert,naive_most_frequent,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.47413793103448276,0.0,0.0,0.0,0.5,0.0
technical_plus_finbert,naive_most_frequent,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.45394736842105265,0.0,0.0,0.0,0.5,0.0
technical_plus_finbert,naive_most_frequent,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.6460905349794238,0.0,0.0,0.0,0.5,0.0
technical_plus_finbert,logistic_regression,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.4624505928853755,0.40705128205128205,0.5934579439252337,0.4828897338403042,0.47602739726027393,-0.040747840008542834
technical_plus_finbert,logistic_regression,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5227722772277228,0.5169811320754717,0.548,0.5320388349514563,0.5325176470588235,0.0460934752403862
technical_plus_finbert,logistic_regression,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.4870689655172414,0.5111940298507462,0.5614754098360656,0.53515625,0.4612891207153502,-0.034349715763671046
technical_plus_finbert,logistic_regression,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.5,0.5497630331753555,0.46586345381526106,0.5043478260869565,0.5187319325611626,0.006916065536778109
technical_plus_finbert,logistic_regression,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.42386831275720166,0.33125,0.6162790697674418,0.43089430894308944,0.43221374611168717,-0.06579271662415358
technical_plus_finbert,random_forest,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.4980237154150198,0.42424242424242425,0.5233644859813084,0.4686192468619247,0.470410318781206,0.002785509917080067
technical_plus_finbert,random_forest,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5168316831683168,0.5172413793103449,0.36,0.42452830188679247,0.5013647058823529,0.03218147130869043
